date,content,language_prob,Positive,Negative,Neutral
2022-10-01 09:15:01+00:00,"Habe diese Woche meine Fail-Kreditkarte bei @PostFinance gekündigt und bin nun froh ausschliesslich mit der @migrosbank Cumulus-Kreditkarte unterwegs zu sein. Sie sammelt doppelt Punkte, funktionierte selbst in den USA einwandfrei und ist erst noch gratis. Ist doch ganz normal.",de,0.04457757,0.9550023,0.00042005914
2022-09-30 19:56:59+00:00,"@pbruegger @JuereVoBaern @twintapp @PostFinance Ich meinte auf mein  ""bei mir geht es SOFORT"" dass es evtl auch bis zur nächsten minute gehe.

Nimm einfache aussagen nicht gleich als angriff o.ä. herrgott nochmals.",de,0.008652982,0.9832541,0.008092819
2022-09-30 19:54:18+00:00,"@WohlgensingerN @JuereVoBaern @twintapp @PostFinance Also ich kann schon noch unterscheiden zwischen minütig und 12 bis 30 Stunden! Für wie blöd hältst Du mich? Und ich weiss, dass die Bank- @twintapp s in ECHTZEIT übertragen. Die Rede hier ist und war aber von @PostFinance zu @PostFinance, die sich dem Problem nicht mal annimmt.",de,0.0065376777,0.9933622,0.00010025848
2022-09-30 19:45:11+00:00,@pbruegger @JuereVoBaern @twintapp @PostFinance Also bei mir geht das meist sofort 😅 (sgkb) evtl ist es nur das Gefühl und es ist minütig,de,0.025193084,0.9745995,0.00020753327
2022-09-30 19:44:10+00:00,@pbruegger @twintapp @PostFinance Also sgkb Twint innert Sekunden.,de,0.01487057,0.96965295,0.015476609
2022-09-30 14:12:32+00:00,"@_auchICH Hallo @_auchICH
Vielen Dank für dein Feedback betreffend der Videos. Wir haben dieses Problem weitergeleitet.
Du findest auf dem von dir erwähnten Link eine schriftliche Erklärung unter ""Mobile ID registrieren"".
Freundliche Grüsse, PostFinance",de,0.012210263,0.9847025,0.0030872112
2022-09-30 13:31:17+00:00,"@PostFinance Einrichten vom Mobile ID wird zur Nervenprobe. Nichts von ’selbsterklärend’. Ich bin wirklich ziemlich firm in digitalen Dingen, aber das hier ... wer denkt sie so etwas aus?",de,0.005588304,0.994098,0.00031392404
2022-09-30 13:29:50+00:00,"@PostFinance Bin ich die Einzige, die den Filmllink nicht öffnen kann und darum keine Ahnung hat, wie wechseln von Login via Kartenlesegerät zu Login via Mobile ID geht? Mir wird immer Login via Gerät vorgeschlagen. Lesbare Anleitung zum Wechsel fehlt.
https://t.co/Iqb5D1femY",de,0.005796993,0.9940488,0.00015410066
2022-09-30 12:38:38+00:00,"Cookieless, davon sollte die Agentur der @PostFinance etwas verstehen. 
Aber von #Brandvalues eher nicht. #StopFundingHateNow https://t.co/gWKP3aMyty",de,0.024090728,0.24771878,0.7281905
2022-09-30 12:03:19+00:00,"Hallo @PostFinance 
Macht ihr die Planung selber oder bezahlt ihr eine Agentur dafür?
#StopFundingHateNow https://t.co/2VJYvBlaSI",de,0.040724263,0.30442724,0.6548485
2022-09-30 10:41:50+00:00,@RangeRolph @PostFinance Hab ich schon lange,de,0.031219505,0.96802723,0.0007532592
2022-09-30 10:41:11+00:00,"@PostFinance Liebe @PostFinance jetzt geht ihr aber ab oder? Könnt ihr nicht noch einen 1 Beinigen kleinwüchsigen Inuit in der Werbung aufnehmen, der fehlt noch bei eurem Diversity Müll der den Kunden zugemutet wird. Danke",de,0.058052506,0.9412947,0.00065267197
2022-09-30 09:49:09+00:00,"*Tod eines #Einzahlungsscheins* Interessiert an exkl. Material, das zeigt wie die @PostFinance den #Einzahlungsschein verschwinden lässt? @prime_news_ch @20min @bazonline @bzBasel @RepublikMagazin @NZZ? Gut hat #CashCtrl die #QRRechnung #chamemache #buchhaltung @sfischerverlage https://t.co/2FSQ4E5uN4",de,0.012837756,0.7330556,0.25410673
2022-09-30 08:00:00+00:00,"Die abkühlende #Konjunktur könnte viele Firmen dazu zwingen, in der Zukunft ihre Gewinnprognosen nach unten zu revidieren. Leider folgt auf solche Anpassungen in der Regel auch ein Kurseinbruch. #marktmeinung lesen. Rechtlicher Hinweis:  https://t.co/OhrRVll1m0",de,0.04236762,0.8911116,0.066520676
2022-09-30 07:17:47+00:00,@pbruegger @twintapp @PostFinance Bei der @migrosbank geht es in der Regel +/- 10min. Es hat aber schon mal 4h gedauert.,de,0.03072075,0.96822834,0.0010508267
2022-09-30 07:14:51+00:00,@pbruegger @twintapp @PostFinance Bei uns in der Familie dauert es von PF zu PF nur Sekunden.,de,0.01077047,0.9886756,0.0005540537
2022-09-30 06:30:36+00:00,"@tguldener @JuereVoBaern @twintapp @PostFinance Ja stimmt, ich mache nur schlechte Erfahrungen mit Post &lt;&gt; Post. Letzter Übertrag ca. 12 Stunden.",de,0.0151357,0.98409253,0.00077175134
